Id,ActivityDate,TotalSteps,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Engagement
8792009665,4/3/2016,7238,2,6,279,636,2667,High
8792009665,4/4/2016,3821,0,9,161,675,2229,High
8792009665,4/5/2016,2332,1,10,111,904,2100,Medium
8792009665,4/6/2016,2121,0,0,122,855,2114,Medium
8792009665,4/7/2016,1291,0,0,77,888,1961,Medium
8792009665,4/8/2016,1467,2,8,71,912,1953,Medium
8792009665,4/9/2016,1022,0,0,63,739,1890,Medium
8792009665,4/10/2016,4605,0,0,179,1261,2253,Medium
8792009665,4/11/2016,178,0,0,12,1428,1725,Low
8792009665,4/12/2016,20,0,0,6,598,728,Medium
8877689391,4/1/2016,18700,67,3,247,1123,3527,High
8877689391,4/2/2016,27572,116,24,260,1040,4220,High
8877689391,4/3/2016,15260,106,17,259,1058,3864,High
8877689391,4/4/2016,20779,78,16,208,1138,3662,High
8877689391,4/5/2016,10695,10,3,246,1181,2834,High
8877689391,4/6/2016,24136,87,16,318,1019,4039,High
8877689391,4/7/2016,10910,32,11,212,1185,2947,High
8877689391,4/8/2016,23014,70,29,359,982,4196,High
8877689391,4/9/2016,16470,90,9,289,1052,3841,High
8877689391,4/10/2016,28497,128,46,211,1055,4526,High
8877689391,4/11/2016,10622,18,7,225,1190,2820,High
8877689391,4/12/2016,2350,0,0,58,531,938,Medium
